"","provincia_iso","fecha","num_casos","num_casos_prueba_pcr","num_casos_prueba_test_ac","num_casos_prueba_otras","num_casos_prueba_desconocida","Comunidad.autónoma"
"344","AB","2020-02-28",2,2,0,0,0,"CM"
"345","AB","2020-02-07",0,0,0,0,0,"CM"
"346","AB","2020-06-02",5,5,0,0,0,"CM"
"347","AB","2020-08-19",36,36,0,0,0,"CM"
"348","AB","2020-09-23",0,0,0,0,0,"CM"
"349","AB","2020-02-25",1,0,0,0,1,"CM"
"350","AB","2020-06-10",2,2,0,0,0,"CM"
"351","AB","2020-08-09",16,16,0,0,0,"CM"
"352","AB","2020-05-30",4,4,0,0,0,"CM"
"353","AB","2020-07-29",3,3,0,0,0,"CM"
"354","AB","2020-02-18",0,0,0,0,0,"CM"
"355","AB","2020-08-30",60,60,0,0,0,"CM"
"356","AB","2020-02-08",0,0,0,0,0,"CM"
"357","AB","2020-06-03",5,5,0,0,0,"CM"
"358","AB","2020-08-13",31,31,0,0,0,"CM"
"359","AB","2020-07-05",0,0,0,0,0,"CM"
"360","AB","2020-02-26",0,0,0,0,0,"CM"
"361","AB","2020-05-24",2,2,0,0,0,"CM"
"362","AB","2020-02-05",0,0,0,0,0,"CM"
"363","AB","2020-05-03",22,2,0,0,20,"CM"
"364","AB","2020-07-02",1,1,0,0,0,"CM"
"365","AB","2020-09-21",1,1,0,0,0,"CM"
"366","AB","2020-03-25",106,28,5,0,73,"CM"
"367","AB","2020-09-07",56,56,0,0,0,"CM"
"368","AB","2020-05-28",2,2,0,0,0,"CM"
"369","AB","2020-07-20",1,1,0,0,0,"CM"
"370","AB","2020-09-14",44,44,0,0,0,"CM"
"371","AB","2020-07-27",3,3,0,0,0,"CM"
"372","AB","2020-02-27",2,0,0,0,2,"CM"
"373","AB","2020-05-04",4,3,0,0,1,"CM"
"374","AB","2020-08-11",30,30,0,0,0,"CM"
"375","AB","2020-02-13",0,0,0,0,0,"CM"
"376","AB","2020-08-25",56,56,0,0,0,"CM"
"377","AB","2020-08-07",23,23,0,0,0,"CM"
"378","AB","2020-02-24",0,0,0,0,0,"CM"
"379","AB","2020-03-02",9,2,0,0,7,"CM"
"380","AB","2020-06-23",0,0,0,0,0,"CM"
"381","AB","2020-08-15",38,38,0,0,0,"CM"
"382","AB","2020-09-15",58,58,0,0,0,"CM"
"383","AB","2020-09-19",15,15,0,0,0,"CM"
"384","AB","2020-06-06",0,0,0,0,0,"CM"
"385","AB","2020-06-13",0,0,0,0,0,"CM"
"386","AB","2020-08-12",29,29,0,0,0,"CM"
"387","AB","2020-07-25",4,4,0,0,0,"CM"
"388","AB","2020-08-01",3,3,0,0,0,"CM"
"389","AB","2020-03-27",101,29,2,0,70,"CM"
"390","AB","2020-09-02",87,87,0,0,0,"CM"
"391","AB","2020-06-17",1,1,0,0,0,"CM"
"392","AB","2020-02-11",0,0,0,0,0,"CM"
"393","AB","2020-08-16",39,39,0,0,0,"CM"
"394","AB","2020-08-31",77,77,0,0,0,"CM"
"395","AB","2020-09-20",4,4,0,0,0,"CM"
"396","AB","2020-06-07",0,0,0,0,0,"CM"
"397","AB","2020-03-07",25,6,0,0,19,"CM"
"398","AB","2020-06-21",0,0,0,0,0,"CM"
"399","AB","2020-08-20",54,54,0,0,0,"CM"
"400","AB","2020-03-28",80,17,6,0,57,"CM"
"401","AB","2020-02-06",0,0,0,0,0,"CM"
"402","AB","2020-06-11",0,0,0,0,0,"CM"
"403","AB","2020-02-12",0,0,0,0,0,"CM"
